# schema=foundation-b-port-language-dispositions/v1
# baseline=61022ae1b4da0309e93ce49ec00c9c64679d09d8
# reviewed_population=74 (kv:57 kv-read:9 http:8)
record_id	path	pointer	action	target_lane	target_kind	target_data	reason
config:configs/agentic.json#/components/agentic-tools/config/ports/kv_read/0	configs/agentic.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/e2e-structural.json#/components/graph-gateway/config/ports/inputs/0	configs/e2e-structural.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8082,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/e2e-structural.json#/components/graph-index-spatial/config/ports/outputs/0	configs/e2e-structural.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/e2e-structural.json#/components/graph-index-temporal/config/ports/outputs/0	configs/e2e-structural.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/e2e-structural.json#/components/graph-index/config/ports/outputs/0	configs/e2e-structural.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/e2e-structural.json#/components/graph-index/config/ports/outputs/1	configs/e2e-structural.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/e2e-structural.json#/components/graph-index/config/ports/outputs/2	configs/e2e-structural.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/e2e-structural.json#/components/graph-index/config/ports/outputs/3	configs/e2e-structural.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/examples/research-graph-pipeline.json#/components/agentic-tools/config/ports/kv_read/0	configs/examples/research-graph-pipeline.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/examples/research-graph-pipeline.json#/components/graph-query/config/ports/kv_read/0	configs/examples/research-graph-pipeline.json	/components/graph-query/config/ports/kv_read/0	delete	<deleted>	<deleted>	"{""reason"":""no-runtime-consumer""}"	reviewed-dead-graph-query-entity-states-row
config:configs/flows/deep-research-test.json#/components/agentic-tools/config/ports/kv_read/0	configs/flows/deep-research-test.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/flows/deep-research.json#/components/agentic-tools/config/ports/kv_read/0	configs/flows/deep-research.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/flows/lesson-example.json#/components/agentic-tools/config/ports/kv_read/0	configs/flows/lesson-example.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/flows/ops-agent.json#/components/agentic-tools/config/ports/kv_read/0	configs/flows/ops-agent.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/graph-backend.json#/components/graph-index-spatial/config/ports/outputs/0	configs/graph-backend.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/graph-backend.json#/components/graph-index-temporal/config/ports/outputs/0	configs/graph-backend.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/graph-backend.json#/components/graph-index/config/ports/outputs/0	configs/graph-backend.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/graph-backend.json#/components/graph-index/config/ports/outputs/1	configs/graph-backend.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/graph-backend.json#/components/graph-index/config/ports/outputs/2	configs/graph-backend.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/graph-backend.json#/components/graph-index/config/ports/outputs/3	configs/graph-backend.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/hello-world.json#/components/graph-gateway/config/ports/inputs/0	configs/hello-world.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/hello-world.json#/components/graph-index/config/ports/outputs/0	configs/hello-world.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/hello-world.json#/components/graph-index/config/ports/outputs/1	configs/hello-world.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/hello-world.json#/components/graph-index/config/ports/outputs/2	configs/hello-world.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/protocol-flow.json#/components/graph-gateway/config/ports/inputs/0	configs/protocol-flow.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/protocol-flow.json#/components/graph-index/config/ports/outputs/0	configs/protocol-flow.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/protocol-flow.json#/components/graph-index/config/ports/outputs/1	configs/protocol-flow.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/protocol-flow.json#/components/graph-index/config/ports/outputs/2	configs/protocol-flow.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/protocol-flow.json#/components/graph-index/config/ports/outputs/3	configs/protocol-flow.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/research-graph-e2e.json#/components/agentic-tools/config/ports/kv_read/0	configs/research-graph-e2e.json	/components/agentic-tools/config/ports/kv_read/0	rewrite	inputs	kv-read	"{""bucket"":""ENTITY_STATES""}"	reviewed-agentic-tools-exact-read-input
config:configs/research-graph-e2e.json#/components/graph-query/config/ports/kv_read/0	configs/research-graph-e2e.json	/components/graph-query/config/ports/kv_read/0	delete	<deleted>	<deleted>	"{""reason"":""no-runtime-consumer""}"	reviewed-dead-graph-query-entity-states-row
config:configs/semantic-8b.json#/components/graph-clustering/config/ports/outputs/1	configs/semantic-8b.json	/components/graph-clustering/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""COMMUNITY_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-gateway/config/ports/inputs/0	configs/semantic-8b.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/semantic-8b.json#/components/graph-index-spatial/config/ports/outputs/0	configs/semantic-8b.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-index-temporal/config/ports/outputs/0	configs/semantic-8b.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-index/config/ports/outputs/0	configs/semantic-8b.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-index/config/ports/outputs/1	configs/semantic-8b.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-index/config/ports/outputs/2	configs/semantic-8b.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-index/config/ports/outputs/3	configs/semantic-8b.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-8b.json#/components/graph-ingest/config/ports/outputs/0	configs/semantic-8b.json	/components/graph-ingest/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""ENTITY_STATES""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-clustering/config/ports/outputs/1	configs/semantic-frontier.json	/components/graph-clustering/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""COMMUNITY_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-gateway/config/ports/inputs/0	configs/semantic-frontier.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/semantic-frontier.json#/components/graph-index-spatial/config/ports/outputs/0	configs/semantic-frontier.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-index-temporal/config/ports/outputs/0	configs/semantic-frontier.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-index/config/ports/outputs/0	configs/semantic-frontier.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-index/config/ports/outputs/1	configs/semantic-frontier.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-index/config/ports/outputs/2	configs/semantic-frontier.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-index/config/ports/outputs/3	configs/semantic-frontier.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic-frontier.json#/components/graph-ingest/config/ports/outputs/0	configs/semantic-frontier.json	/components/graph-ingest/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""ENTITY_STATES""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-clustering/config/ports/outputs/1	configs/semantic.json	/components/graph-clustering/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""COMMUNITY_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-gateway/config/ports/inputs/0	configs/semantic.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/semantic.json#/components/graph-index-spatial/config/ports/outputs/0	configs/semantic.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-index-temporal/config/ports/outputs/0	configs/semantic.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-index/config/ports/outputs/0	configs/semantic.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-index/config/ports/outputs/1	configs/semantic.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-index/config/ports/outputs/2	configs/semantic.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-index/config/ports/outputs/3	configs/semantic.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/semantic.json#/components/graph-ingest/config/ports/outputs/0	configs/semantic.json	/components/graph-ingest/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""ENTITY_STATES""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-clustering/config/ports/outputs/1	configs/statistical.json	/components/graph-clustering/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""COMMUNITY_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-gateway/config/ports/inputs/0	configs/statistical.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8084,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/statistical.json#/components/graph-index-spatial/config/ports/outputs/0	configs/statistical.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-index-temporal/config/ports/outputs/0	configs/statistical.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-index/config/ports/outputs/0	configs/statistical.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-index/config/ports/outputs/1	configs/statistical.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-index/config/ports/outputs/2	configs/statistical.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-index/config/ports/outputs/3	configs/statistical.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/statistical.json#/components/graph-ingest/config/ports/outputs/0	configs/statistical.json	/components/graph-ingest/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""ENTITY_STATES""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-gateway/config/ports/inputs/0	configs/structural.json	/components/graph-gateway/config/ports/inputs/0	rewrite	inputs	network	"{""host"":""0.0.0.0"",""port"":8082,""protocol"":""http""}"	reviewed-http-listener-network-protocol
config:configs/structural.json#/components/graph-index-spatial/config/ports/outputs/0	configs/structural.json	/components/graph-index-spatial/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""SPATIAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-index-temporal/config/ports/outputs/0	configs/structural.json	/components/graph-index-temporal/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""TEMPORAL_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-index/config/ports/outputs/0	configs/structural.json	/components/graph-index/config/ports/outputs/0	rewrite	outputs	kv-write	"{""bucket"":""OUTGOING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-index/config/ports/outputs/1	configs/structural.json	/components/graph-index/config/ports/outputs/1	rewrite	outputs	kv-write	"{""bucket"":""INCOMING_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-index/config/ports/outputs/2	configs/structural.json	/components/graph-index/config/ports/outputs/2	rewrite	outputs	kv-write	"{""bucket"":""ALIAS_INDEX""}"	reviewed-current-output-writes-kv-resource
config:configs/structural.json#/components/graph-index/config/ports/outputs/3	configs/structural.json	/components/graph-index/config/ports/outputs/3	rewrite	outputs	kv-write	"{""bucket"":""PREDICATE_INDEX""}"	reviewed-current-output-writes-kv-resource
