# schema=foundation-b-port-language-worklist/v1
# baseline=61022ae1b4da0309e93ce49ec00c9c64679d09d8
# authority=owner-accepted census; immutable input; verify with go run ./cmd/port-grammar-control -mode check -root .
# counts=config:522 mechanical:448 adjudicated:74 go:124
record_id	record_type	path	pointer	enclosing	lane	ordinal	name	current_kind	current_data	classification	source_line	source_column	source_sha256
config:configs/agentic.json#/components/agentic-loop/config/ports/inputs/0	config	configs/agentic.json	/components/agentic-loop/config/ports/inputs/0	agentic-loop	inputs	0	agent.task	jetstream	"{""description"":""Agent task requests"",""name"":""agent.task"",""required"":true,""stream_name"":""AGENT"",""subject"":""agent.task.*"",""type"":""jetstream""}"	mechanical	0	0	240b8b2bce34bfbbb3ee6b15b06c46da1faa9e41f75cd7769caf21a4dc2f6e47
config:configs/agentic.json#/components/agentic-loop/config/ports/inputs/1	config	configs/agentic.json	/components/agentic-loop/config/ports/inputs/1	agentic-loop	inputs	1	agent.response	jetstream	"{""description"":""Model responses"",""name"":""agent.response"",""required"":true,""stream_name"":""AGENT"",""subject"":""agent.response.\u003e"",""type"":""jetstream""}"	mechanical	0	0	47bfa5e0831a9ade1494214d7b612978128bc95aa1328b99527b66c729e2b63e
config:configs/agentic.json#/components/agentic-loop/config/ports/inputs/2	config	configs/agentic.json	/components/agentic-loop/config/ports/inputs/2	agentic-loop	inputs	2	tool.result	jetstream	"{""description"":""Tool execution results"",""name"":""tool.result"",""required"":true,""stream_name"":""TOOL"",""subject"":""tool.result.\u003e"",""type"":""jetstream""}"	mechanical	0	0	da1686c1aa0b59737834c5c0e4cc65e3e54e690afd7b203f2ae3c56a315174cf
config:configs/agentic.json#/components/agentic-loop/config/ports/kv_write/0	config	configs/agentic.json	/components/agentic-loop/config/ports/kv_write/0	agentic-loop	kv_write	0	loops	kv-write	"{""bucket"":""AGENT_LOOPS"",""description"":""Loop state storage"",""name"":""loops"",""type"":""kv-write""}"	mechanical	0	0	d8d1ce95a4187cf78bab6929fd575dd5eb9c6ba027b045e0235af30f12ecb906
config:configs/agentic.json#/components/agentic-loop/config/ports/kv_write/1	config	configs/agentic.json	/components/agentic-loop/config/ports/kv_write/1	agentic-loop	kv_write	1	trajectories	kv-write	"{""bucket"":""AGENT_TRAJECTORIES"",""description"":""Trajectory storage"",""name"":""trajectories"",""type"":""kv-write""}"	mechanical	0	0	bbf482dc9eb317c2110115a7acd49fa191fbbcf338f8b7a37efe30df254d6666
config:configs/agentic.json#/components/agentic-loop/config/ports/outputs/0	config	configs/agentic.json	/components/agentic-loop/config/ports/outputs/0	agentic-loop	outputs	0	graph_mutations	nats-request	"{""interface"":""semstreams.graph.mutation"",""name"":""graph_mutations"",""required"":true,""subject"":""graph.mutation.\u003e"",""type"":""nats-request""}"	mechanical	0	0	c7693d52e641240aefc225a5b0a801cded46a5398ef7949fdcc238e0e634aecd
config:configs/agentic.json#/components/agentic-loop/config/ports/outputs/1	config	configs/agentic.json	/components/agentic-loop/config/ports/outputs/1	agentic-loop	outputs	1	agent.request	jetstream	"{""description"":""Model requests"",""name"":""agent.request"",""stream_name"":""AGENT"",""subject"":""agent.request.*"",""type"":""jetstream""}"	mechanical	0	0	95e768409e03471c1aef2af01100b74989cfd97b711b18a5c6831fc9e4966787
config:configs/agentic.json#/components/agentic-loop/config/ports/outputs/2	config	configs/agentic.json	/components/agentic-loop/config/ports/outputs/2	agentic-loop	outputs	2	tool.execute	jetstream	"{""description"":""Tool execution requests"",""name"":""tool.execute"",""stream_name"":""TOOL"",""subject"":""tool.execute.*"",""type"":""jetstream""}"	mechanical	0	0	c943e8b1167cce039a7e5d43de80ff834a66f680f0c82fb25d5ab0d68dae0a2a
config:configs/agentic.json#/components/agentic-loop/config/ports/outputs/3	config	configs/agentic.json	/components/agentic-loop/config/ports/outputs/3	agentic-loop	outputs	3	agent.complete	jetstream	"{""description"":""Task completions"",""name"":""agent.complete"",""stream_name"":""AGENT"",""subject"":""agent.complete.*"",""type"":""jetstream""}"	mechanical	0	0	d230f2f2effb343ecda7afd759ce17bd0a3f6f5b7a190820aff752de38752d4f
config:configs/agentic.json#/components/agentic-model/config/ports/inputs/0	config	configs/agentic.json	/components/agentic-model/config/ports/inputs/0	agentic-model	inputs	0	agent.request	jetstream	"{""description"":""Agent request input"",""name"":""agent.request"",""required"":true,""stream_name"":""AGENT"",""subject"":""agent.request.\u003e"",""type"":""jetstream""}"	mechanical	0	0	5a48fec553311c3a830dde9944bfba0018de8efa029756c6d044cc85fd9a8b91
